network_name,seed_method,threshold,seed_size,budget_total,interaction_1_2,interaction_2_1,smart_method,no_block_0,no_block_1,no_block_2,no_block_3,mcich_0,mcich_1,mcich_2,mcich_3,degree_0,degree_1,degree_2,degree_3
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,2655,1,1,MCICH_SMC,57123,0,0,18754,75857,6,5,9,65088,10,5,10774
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,3035,1,1,MCICH_SMC,57123,0,0,18754,75857,6,5,9,65825,11,5,10036
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,3414,1,1,MCICH_SMC,57123,0,0,18754,75857,6,5,9,66572,10,5,9290
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,3793,1,1,MCICH_SMC,57123,0,0,18754,75857,6,5,9,67355,18,5,8499
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,4173,1,1,MCICH_SMC,57123,0,0,18754,75857,6,5,9,68068,18,5,7786
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,4552,1,1,MCICH_SMC,57123,0,0,18754,75857,6,5,9,68766,19,6,7086
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,4932,1,1,MCICH_SMC,57123,0,0,18754,75857,6,5,9,75798,44,5,30
../complex_net_proposal/experiment_networks/epinions.edges,centola,4,20,5311,1,1,MCICH_SMC,57123,0,0,18754,75857,6,5,9,75834,24,5,14
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,37,1,2,MCICH_SMC,41055,0,0,34822,41073,5,2,34797,41877,2,1,33997
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,75,1,2,MCICH_SMC,41055,0,0,34822,41073,5,2,34797,42334,3,2,33538
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,379,1,2,MCICH_SMC,41055,0,0,34822,41175,54,4,34644,44476,4,3,31394
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,758,1,2,MCICH_SMC,41055,0,0,34822,41175,54,4,34644,46133,5,5,29734
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,1138,1,2,MCICH_SMC,41055,0,0,34822,41175,54,4,34644,47736,6,6,28129
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,1517,1,2,MCICH_SMC,41055,0,0,34822,41760,251,15,33851,49090,7,6,26774
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,1896,1,2,MCICH_SMC,41055,0,0,34822,41760,251,15,33851,50172,6,6,25693
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,2276,1,2,MCICH_SMC,41055,0,0,34822,41760,251,15,33851,51263,6,6,24602
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,2655,1,2,MCICH_SMC,41055,0,0,34822,41760,251,15,33851,52228,7,6,23636
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,3035,1,2,MCICH_SMC,41055,0,0,34822,75857,7,6,7,53046,7,6,22818
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,3414,1,2,MCICH_SMC,41055,0,0,34822,75857,7,6,7,53966,6,6,21899
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,3793,1,2,MCICH_SMC,41055,0,0,34822,75857,7,6,7,54960,7,6,20904
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,4173,1,2,MCICH_SMC,41055,0,0,34822,75857,7,6,7,55866,7,6,19998
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,4552,1,2,MCICH_SMC,41055,0,0,34822,75857,7,6,7,56698,6,6,19167
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,4932,1,2,MCICH_SMC,41055,0,0,34822,75857,7,6,7,57512,6,6,18353
../complex_net_proposal/experiment_networks/epinions.edges,centola,2,20,5311,1,2,MCICH_SMC,41055,0,0,34822,75857,7,6,7,58411,7,6,17453
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,37,1,2,MCICH_SMC,51935,0,1,23941,51935,0,3,23939,52578,2,2,23295
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,75,1,2,MCICH_SMC,51935,0,1,23941,51971,0,14,23892,52930,3,3,22941
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,379,1,2,MCICH_SMC,51935,0,1,23941,52096,3,58,23720,54609,5,6,21257
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,758,1,2,MCICH_SMC,51935,0,1,23941,52096,3,58,23720,55916,4,7,19950
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,1138,1,2,MCICH_SMC,51935,0,1,23941,52096,3,58,23720,57173,7,11,18686
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,1517,1,2,MCICH_SMC,51935,0,1,23941,75857,5,10,5,58296,10,14,17557
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,1896,1,2,MCICH_SMC,51935,0,1,23941,75857,5,10,5,59314,9,17,16537
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,2276,1,2,MCICH_SMC,51935,0,1,23941,75857,5,10,5,60309,9,15,15544
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,2655,1,2,MCICH_SMC,51935,0,1,23941,75857,5,10,5,61158,10,15,14694
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,3035,1,2,MCICH_SMC,51935,0,1,23941,75857,5,10,5,61887,10,17,13963
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,3414,1,2,MCICH_SMC,51935,0,1,23941,75857,5,10,5,62682,9,18,13168
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,3793,1,2,MCICH_SMC,51935,0,1,23941,75857,5,10,5,63461,10,20,12386
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,4173,1,2,MCICH_SMC,51935,0,1,23941,75857,5,10,5,64269,10,20,11578
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,4552,1,2,MCICH_SMC,51935,0,1,23941,75857,5,10,5,65042,9,20,10806
../complex_net_proposal/experiment_networks/epinions.edges,centola,3,20,4932,1,2,MCICH_SMC,51935,0,1,23941,75857,5,10,5,65744,9,24,10100
