fb-pages-politician,2,20,29,889,0,0,5019,903,0,19,4986,986,0,78,4844,889,8,33,4978
fb-pages-politician,2,20,59,889,0,0,5019,922,0,0,4986,1111,0,27,4770,890,46,72,4900
fb-pages-politician,2,20,118,889,0,0,5019,897,0,4998,13,960,0,295,4653,889,4,129,4886
fb-pages-politician,2,20,177,889,0,0,5019,922,0,4973,13,1141,0,221,4546,889,69,212,4738
fb-pages-politician,2,20,236,889,0,0,5019,5888,5,7,8,1259,0,198,4451,893,146,331,4538
fb-pages-politician,2,20,295,889,0,0,5019,5888,5,7,8,1368,0,198,4342,905,175,297,4531
fb-pages-politician,2,20,354,889,0,0,5019,5888,5,7,8,1461,0,250,4197,922,217,360,4409
fb-pages-politician,2,20,413,889,0,0,5019,5888,5,7,8,1575,0,263,4070,944,295,421,4248
fb-pages-politician,2,20,472,889,0,0,5019,5888,5,7,8,1716,0,262,3930,939,403,475,4091
fb-pages-politician,2,20,531,889,0,0,5019,5888,5,7,8,1844,0,265,3799,981,390,585,3952
fb-pages-politician,2,20,590,889,0,0,5019,5888,5,7,8,1984,0,320,3604,992,444,635,3837
fb-pages-politician,3,20,29,1788,0,0,4120,1799,0,26,4083,1890,0,104,3914,1789,4,37,4078
fb-pages-politician,3,20,59,1788,0,0,4120,1808,0,66,4034,1903,0,207,3798,1791,6,173,3938
fb-pages-politician,3,20,118,1788,0,0,4120,1828,0,4067,13,1999,0,3434,475,1790,33,118,3967
fb-pages-politician,3,20,177,1788,0,0,4120,5888,5,7,8,5334,0,344,230,1796,82,395,3635
fb-pages-politician,3,20,236,1788,0,0,4120,5888,5,7,8,5446,0,236,226,1801,134,240,3733
fb-pages-politician,3,20,295,1788,0,0,4120,5888,5,7,8,5680,0,9,219,1827,159,254,3668
fb-pages-politician,3,20,354,1788,0,0,4120,5888,5,7,8,5688,0,13,207,1908,256,331,3413
fb-pages-politician,3,20,413,1788,0,0,4120,5888,5,7,8,5692,0,18,198,1847,276,339,3446
fb-pages-politician,3,20,472,1788,0,0,4120,5888,5,7,8,5706,0,14,188,1887,303,401,3317
fb-pages-politician,3,20,531,1788,0,0,4120,5888,5,7,8,5715,0,17,176,1911,358,569,3070
fb-pages-politician,3,20,590,1788,0,0,4120,5888,5,7,8,5727,0,14,167,1892,404,541,3071
fb-pages-politician,4,20,29,2653,0,0,3255,2653,0,3032,223,2653,0,229,3026,2653,0,19,3236
fb-pages-politician,4,20,59,2653,0,0,3255,2661,0,3079,168,2754,0,2923,231,2653,3,38,3214
fb-pages-politician,4,20,118,2653,0,0,3255,5684,0,211,13,5677,0,6,225,2656,31,241,2980
fb-pages-politician,4,20,177,2653,0,0,3255,5888,5,7,8,5683,0,6,219,2663,127,130,2988
fb-pages-politician,4,20,236,2653,0,0,3255,5888,5,7,8,5689,0,4,215,2666,164,186,2892
fb-pages-politician,4,20,295,2653,0,0,3255,5888,5,7,8,5692,0,8,208,2697,143,465,2603
fb-pages-politician,4,20,354,2653,0,0,3255,5888,5,7,8,5699,0,12,197,2685,245,254,2724
fb-pages-politician,4,20,413,2653,0,0,3255,5888,5,7,8,5708,0,13,187,2720,332,313,2543
fb-pages-politician,4,20,472,2653,0,0,3255,5888,5,7,8,5719,0,13,176,2726,302,283,2597
fb-pages-politician,4,20,531,2653,0,0,3255,5888,5,7,8,5732,0,42,134,3044,20,2657,187
fb-pages-politician,4,20,590,2653,0,0,3255,5888,5,7,8,5774,0,61,73,3275,2435,23,175
fb-pages-politician,2,20,29,889,0,0,5019,916,0,20,4972,1041,0,27,4840,889,20,33,4966
fb-pages-politician,2,20,59,889,0,0,5019,916,0,20,4972,1062,0,79,4767,889,31,57,4931
fb-pages-politician,2,20,118,889,0,0,5019,916,0,117,4875,1041,0,215,4652,889,23,111,4885
fb-pages-politician,2,20,177,889,0,0,5019,965,0,68,4875,1191,0,183,4534,908,75,191,4734
fb-pages-politician,2,20,236,889,0,0,5019,916,0,4978,14,1032,0,423,4453,889,24,267,4728
fb-pages-politician,2,20,295,889,0,0,5019,965,0,4929,14,1190,0,383,4335,897,76,324,4611
fb-pages-politician,2,20,354,889,0,0,5019,5888,11,6,3,1294,0,412,4202,903,139,361,4505
fb-pages-politician,2,20,413,889,0,0,5019,5888,11,6,3,1405,0,428,4075,906,231,443,4328
fb-pages-politician,2,20,472,889,0,0,5019,5888,11,6,3,1497,0,474,3937,929,255,442,4282
fb-pages-politician,2,20,531,889,0,0,5019,5888,11,6,3,1612,0,485,3811,949,306,568,4085
fb-pages-politician,2,20,590,889,0,0,5019,5888,11,6,3,1750,0,507,3651,966,335,561,4046
fb-pages-politician,3,20,29,1788,0,0,4120,1803,2,0,4103,1978,0,14,3916,1788,21,21,4078
fb-pages-politician,3,20,59,1788,0,0,4120,1805,0,44,4059,1949,0,168,3791,1788,17,59,4044
fb-pages-politician,3,20,118,1788,0,0,4120,1792,0,243,3873,1873,0,744,3291,1788,1,139,3980
fb-pages-politician,3,20,177,1788,0,0,4120,1805,0,4089,14,1963,0,892,3053,1790,37,177,3904
fb-pages-politician,3,20,236,1788,0,0,4120,5888,11,6,3,2163,0,1261,2484,1799,91,224,3794
fb-pages-politician,3,20,295,1788,0,0,4120,5888,11,6,3,2772,0,808,2328,1803,133,293,3679
fb-pages-politician,3,20,354,1788,0,0,4120,5888,11,6,3,2928,0,1705,1275,1835,255,376,3442
fb-pages-politician,3,20,413,1788,0,0,4120,5888,11,6,3,3062,0,1710,1136,1848,212,398,3450
