time,threshold,blocking,state_0,state_1,state_2,state_3
16,4,random,-32,32,0,0
17,4,random,-24,24,0,0
18,4,random,-8,8,0,0
19,4,random,-4,4,0,0
20,4,random,0,0,0,0
2,2,no_block,-179,62,59,58
3,2,no_block,-785,147,117,521
4,2,no_block,-861,-57,28,890
5,2,no_block,-1094,-103,26,1171
6,2,no_block,-1173,-29,-14,1216
7,2,no_block,-617,-25,-86,728
8,2,no_block,-180,-1,-86,267
9,2,no_block,-81,0,-31,112
10,2,no_block,-17,0,-17,34
11,2,no_block,-4,0,-3,7
12,2,no_block,-1,0,0,1
13,2,no_block,-1,0,0,1
14,2,no_block,-2,0,0,2
15,2,no_block,-2,0,0,2
16,2,no_block,-2,0,0,2
17,2,no_block,0,0,0,0
2,2,mcich,-117,0,117,0
3,2,mcich,-635,-3,635,3
4,2,mcich,-915,-3,915,3
5,2,mcich,-1197,0,1197,0
6,2,mcich,-1202,0,1202,0
7,2,mcich,-642,0,642,0
8,2,mcich,-181,0,181,0
9,2,mcich,-66,0,66,0
10,2,mcich,0,0,0,0
2,2,degree,-140,41,79,20
3,2,degree,-537,86,210,241
4,2,degree,-468,15,123,330
5,2,degree,-689,-109,314,484
6,2,degree,-1063,-6,424,645
7,2,degree,-936,-28,48,916
8,2,degree,-547,4,-119,662
9,2,degree,-232,-8,-406,646
10,2,degree,-105,-1,-230,336
11,2,degree,-35,0,-127,162
12,2,degree,-20,0,-54,74
13,2,degree,-12,0,-40,52
14,2,degree,-10,0,-28,38
15,2,degree,-4,0,-24,28
16,2,degree,0,0,-8,8
17,2,degree,0,0,-4,4
18,2,degree,0,0,0,0
2,2,random,-178,61,61,56
3,2,random,-780,148,130,502
4,2,random,-860,-52,57,855
5,2,random,-1096,-96,89,1103
6,2,random,-1169,-20,74,1115
7,2,random,-621,-13,-116,750
8,2,random,-183,2,-102,283
9,2,random,-82,-1,-40,123
10,2,random,-17,0,-20,37
11,2,random,-4,0,-2,6
12,2,random,-1,0,1,0
13,2,random,-1,0,1,0
14,2,random,-2,0,2,0
15,2,random,-2,0,2,0
16,2,random,-2,0,2,0
17,2,random,0,0,0,0
2,3,no_block,-76,24,23,29
3,3,no_block,-410,105,15,290
4,3,no_block,-421,-55,45,431
5,3,no_block,-788,114,20,654
6,3,no_block,-520,-149,-15,684
7,3,no_block,-488,-27,38,477
8,3,no_block,-605,9,-66,662
9,3,no_block,-279,-27,-33,339
10,3,no_block,-200,0,-18,218
11,3,no_block,-129,0,-2,131
12,3,no_block,-88,0,-7,95
