network_name,threshold,seed_size,budget_total,0_no_block,1_no_block,2_no_block,3_no_block,0_cbh,1_cbh,2_cbh,3_cbh,0_degree,1_degree,2_degree,3_degree,0_random,1_random,2_random,3_random
fb-pages-politician,4,10,590,3626.5,975.8,325.9,979.8,5898.0,3.4,2.9,3.7,5898.0,3.4,2.9,3.7,3945.6,897.7,382.6,682.1
fb-pages-politician,4,10,649,3626.5,975.8,325.9,979.8,5898.0,3.4,2.9,3.7,5898.0,3.4,2.9,3.7,4029.1,1075.9,340.1,462.9
fb-pages-politician,4,10,708,3626.5,975.8,325.9,979.8,5898.0,3.4,2.9,3.7,5898.0,3.4,2.9,3.7,3977.9,926.9,382.7,620.5
fb-pages-politician,2,20,29,889.0,0.0,0.0,5019.0,909.5,4.5,32.1,4961.9,1002.4,0.0,60.4,4845.2,889.0,15.1,30.5,4973.4
fb-pages-politician,2,20,59,889.0,0.0,0.0,5019.0,936.2,0.6,133.2,4838.0,1070.1,0.0,65.0,4772.9,889.4,36.3,72.0,4910.3
fb-pages-politician,2,20,118,889.0,0.0,0.0,5019.0,950.5,1.0,3011.5,1945.0,1105.4,0.0,143.5,4659.1,890.7,50.7,128.2,4838.4
fb-pages-politician,2,20,177,889.0,0.0,0.0,5019.0,955.4,0.0,4480.6,472.0,1081.6,0.0,273.8,4552.6,891.1,41.7,199.5,4775.7
fb-pages-politician,2,20,236,889.0,0.0,0.0,5019.0,2029.4,1.2,3865.7,11.7,1211.2,0.0,239.6,4457.2,896.8,105.9,260.7,4644.6
fb-pages-politician,2,20,295,889.0,0.0,0.0,5019.0,3039.9,2.5,2855.2,10.4,1299.4,0.0,253.9,4354.7,906.2,156.5,315.2,4530.1
fb-pages-politician,2,20,354,889.0,0.0,0.0,5019.0,4951.3,4.8,943.8,8.1,1404.0,0.0,291.5,4212.5,914.0,212.5,380.1,4401.4
fb-pages-politician,2,20,413,889.0,0.0,0.0,5019.0,5888.0,6.0,7.1,6.9,1505.3,0.0,316.9,4085.8,931.4,264.6,443.2,4268.8
