network_name,threshold,seed_size,budget_total,0_no_block,1_no_block,2_no_block,3_no_block,0_cbh,1_cbh,2_cbh,3_cbh,0_degree,1_degree,2_degree,3_degree,0_random,1_random,2_random,3_random
fb-pages-politician,2,20,295,889,0,0,5019,5888,2,9,9,1331,0,218,4359,910,141,295,4562
fb-pages-politician,2,20,354,889,0,0,5019,5888,2,9,9,1426,0,266,4216,909,232,387,4380
fb-pages-politician,2,20,413,889,0,0,5019,5888,2,9,9,1522,0,296,4090,921,253,457,4277
fb-pages-politician,2,20,472,889,0,0,5019,5888,2,9,9,1663,0,280,3965,947,324,469,4168
fb-pages-politician,3,20,29,1788,0,0,4120,1800,0,19,4089,1903,0,91,3914,1788,15,41,4064
fb-pages-politician,3,20,59,1788,0,0,4120,1819,0,39,4050,1964,0,147,3797,1788,23,49,4048
fb-pages-politician,3,20,118,1788,0,0,4120,1819,0,4078,11,1965,0,3350,593,1793,15,87,4013
fb-pages-politician,3,20,177,1788,0,0,4120,1920,0,3977,11,5203,0,133,572,1793,77,184,3854
fb-pages-politician,3,20,236,1788,0,0,4120,5888,2,9,9,5323,0,249,336,1798,102,357,3651
fb-pages-politician,3,20,295,1788,0,0,4120,5888,2,9,9,5346,0,240,322,1815,150,469,3474
fb-pages-politician,3,20,354,1788,0,0,4120,5888,2,9,9,5576,0,211,121,1851,199,336,3522
fb-pages-politician,3,20,413,1788,0,0,4120,5888,2,9,9,5594,0,194,120,1867,300,341,3400
fb-pages-politician,3,20,472,1788,0,0,4120,5888,2,9,9,5785,0,3,120,1879,314,436,3279
fb-pages-politician,4,20,29,2653,0,0,3255,2665,0,3111,132,2850,0,32,3026,2653,18,23,3214
fb-pages-politician,4,20,59,2653,0,0,3255,2654,0,3179,75,2685,0,3083,140,2653,0,119,3136
fb-pages-politician,4,20,118,2653,0,0,3255,5293,0,604,11,5540,0,239,129,2654,25,70,3159
fb-pages-politician,4,20,177,2653,0,0,3255,5888,2,9,9,5571,0,213,124,2664,112,280,2852
fb-pages-politician,4,20,236,2653,0,0,3255,5888,2,9,9,5581,0,206,121,2661,150,187,2910
fb-pages-politician,4,20,295,2653,0,0,3255,5888,2,9,9,5590,0,212,106,2809,166,213,2720
fb-pages-politician,4,20,354,2653,0,0,3255,5888,2,9,9,5613,0,193,102,2690,225,228,2765
fb-pages-politician,4,20,413,2653,0,0,3255,5888,2,9,9,5805,0,3,100,2689,250,263,2706
fb-pages-politician,4,20,472,2653,0,0,3255,5888,2,9,9,5805,0,3,100,2806,253,298,2551
fb-pages-politician,2,20,29,889,0,0,5019,905,0,8,4995,1021,0,43,4844,889,21,49,4949
fb-pages-politician,2,20,59,889,0,0,5019,905,0,58,4945,985,0,153,4770,889,12,57,4950
fb-pages-politician,2,20,118,889,0,0,5019,926,0,4965,17,1152,0,104,4652,891,80,131,4806
fb-pages-politician,2,20,177,889,0,0,5019,926,0,4965,17,1114,0,252,4542,892,33,205,4778
fb-pages-politician,2,20,236,889,0,0,5019,5888,12,3,5,1220,0,239,4449,893,105,239,4671
fb-pages-politician,2,20,295,889,0,0,5019,5888,12,3,5,1337,0,230,4341,905,161,297,4545
fb-pages-politician,2,20,354,889,0,0,5019,5888,12,3,5,1435,0,278,4195,906,234,355,4413
fb-pages-politician,2,20,413,889,0,0,5019,5888,12,3,5,1536,0,306,4066,928,287,457,4236
fb-pages-politician,2,20,472,889,0,0,5019,5888,12,3,5,1682,0,298,3928,929,313,482,4184
fb-pages-politician,3,20,29,1788,0,0,4120,1799,0,26,4083,1890,0,104,3914,1788,8,29,4083
fb-pages-politician,3,20,59,1788,0,0,4120,1808,0,66,4034,1903,0,207,3798,1788,10,49,4061
fb-pages-politician,3,20,118,1788,0,0,4120,1808,0,4083,17,1945,0,308,3655,1788,7,129,3984
fb-pages-politician,3,20,177,1788,0,0,4120,5888,12,3,5,2152,0,3522,234,1790,98,166,3854
fb-pages-politician,3,20,236,1788,0,0,4120,5888,12,3,5,2547,0,3133,228,1825,140,206,3737
fb-pages-politician,3,20,295,1788,0,0,4120,5888,12,3,5,5677,0,11,220,1805,196,370,3537
fb-pages-politician,3,20,354,1788,0,0,4120,5888,12,3,5,5681,0,18,209,1837,338,357,3376
fb-pages-politician,3,20,413,1788,0,0,4120,5888,12,3,5,5690,0,18,200,1871,240,470,3327
fb-pages-politician,3,20,472,1788,0,0,4120,5888,12,3,5,5699,0,18,191,1861,401,409,3237
fb-pages-politician,4,20,29,2653,0,0,3255,2653,0,44,3211,2653,0,229,3026,2653,0,28,3227
