network_name,seed_method,threshold,seed_size,budget_total,no_block_0,no_block_1,no_block_2,no_block_3,mcich_0,mcich_1,mcich_2,mcich_3,random_0,random_1,random_2,random_3,degree_0,degree_1,degree_2,degree_3
astroph,random_k_core,3,20,1783.0,4899,0,0,13872,18751,13,4,3,5222,1497,1433,10619,18751,13,4,3
astroph,random_k_core,3,20,1877.0,4899,0,0,13872,18751,13,4,3,5277,1530,1495,10469,18751,13,4,3
astroph,random_k_core,3,20,1970.0,4899,0,0,13872,18751,13,4,3,5310,1605,1550,10306,18751,13,4,3
astroph,random_k_core,3,20,2064.0,4899,0,0,13872,18751,13,4,3,5327,1666,1631,10147,18751,13,4,3
astroph,random_k_core,3,20,2158.0,4899,0,0,13872,18751,13,4,3,5357,1703,1690,10021,18751,13,4,3
astroph,random_k_core,3,20,2252.0,4899,0,0,13872,18751,13,4,3,5382,1738,1756,9895,18751,13,4,3
astroph,random_k_core,4,20,9.0,18751,7,6,7,18751,7,6,7,18751,7,6,7,18751,7,6,7
astroph,random_k_core,4,20,18.0,18751,7,6,7,18751,7,6,7,18751,7,6,7,18751,7,6,7
astroph,random_k_core,4,20,93.0,18751,7,6,7,18751,7,6,7,18751,7,6,7,18751,7,6,7
astroph,random_k_core,4,20,187.0,18751,7,6,7,18751,7,6,7,18751,7,6,7,18751,7,6,7
astroph,random_k_core,4,20,281.0,18751,7,6,7,18751,7,6,7,18751,7,6,7,18751,7,6,7
astroph,random_k_core,4,20,375.0,18751,7,6,7,18751,7,6,7,18751,7,6,7,18751,7,6,7
astroph,random_k_core,4,20,469.0,18751,7,6,7,18751,7,6,7,18751,7,6,7,18751,7,6,7
astroph,random_k_core,4,20,563.0,18751,7,6,7,18751,7,6,7,18751,7,6,7,18751,7,6,7
astroph,random_k_core,4,20,656.0,18751,7,6,7,18751,7,6,7,18751,7,6,7,18751,7,6,7
astroph,random_k_core,4,20,750.0,18751,7,6,7,18751,7,6,7,18751,7,6,7,18751,7,6,7
astroph,random_k_core,4,20,844.0,18751,7,6,7,18751,7,6,7,18751,7,6,7,18751,7,6,7
astroph,random_k_core,4,20,938.0,18751,7,6,7,18751,7,6,7,18751,7,6,7,18751,7,6,7
astroph,random_k_core,4,20,1032.0,18751,7,6,7,18751,7,6,7,18751,7,6,7,18751,7,6,7
astroph,random_k_core,4,20,1126.0,18751,7,6,7,18751,7,6,7,18751,7,6,7,18751,7,6,7
astroph,random_k_core,4,20,1220.0,18751,7,6,7,18751,7,6,7,18751,7,6,7,18751,7,6,7
astroph,random_k_core,4,20,1313.0,18751,7,6,7,18751,7,6,7,18751,7,6,7,18751,7,6,7
astroph,random_k_core,4,20,1407.0,18751,7,6,7,18751,7,6,7,18751,7,6,7,18751,7,6,7
astroph,random_k_core,4,20,1501.0,18751,7,6,7,18751,7,6,7,18751,7,6,7,18751,7,6,7
astroph,random_k_core,4,20,1595.0,18751,7,6,7,18751,7,6,7,18751,7,6,7,18751,7,6,7
astroph,random_k_core,4,20,1689.0,18751,7,6,7,18751,7,6,7,18751,7,6,7,18751,7,6,7
astroph,random_k_core,4,20,1783.0,18751,7,6,7,18751,7,6,7,18751,7,6,7,18751,7,6,7
astroph,random_k_core,4,20,1877.0,18751,7,6,7,18751,7,6,7,18751,7,6,7,18751,7,6,7
astroph,random_k_core,4,20,1970.0,18751,7,6,7,18751,7,6,7,18751,7,6,7,18751,7,6,7
astroph,random_k_core,4,20,2064.0,18751,7,6,7,18751,7,6,7,18751,7,6,7,18751,7,6,7
astroph,random_k_core,4,20,2158.0,18751,7,6,7,18751,7,6,7,18751,7,6,7,18751,7,6,7
astroph,random_k_core,4,20,2252.0,18751,7,6,7,18751,7,6,7,18751,7,6,7,18751,7,6,7
astroph,random_k_core,2,20,9.0,2959,0,0,15812,2974,2,0,15795,2959,12,12,15788,2974,0,1,15796
astroph,random_k_core,2,20,18.0,2959,0,0,15812,2974,0,12,15785,2959,19,25,15768,2990,0,1,15780
astroph,random_k_core,2,20,93.0,2959,0,0,15812,3203,0,15554,14,2959,91,101,15620,3106,0,1,15664
astroph,random_k_core,2,20,187.0,2959,0,0,15812,18751,7,6,7,2961,200,192,15418,3233,1,5,15532
astroph,random_k_core,2,20,281.0,2959,0,0,15812,18751,7,6,7,2966,293,293,15219,3382,5,4,15380
astroph,random_k_core,2,20,375.0,2959,0,0,15812,18751,7,6,7,2971,377,387,15036,3535,3,5,15228
astroph,random_k_core,2,20,469.0,2959,0,0,15812,18751,7,6,7,2978,469,477,14847,3677,1,5,15088
astroph,random_k_core,2,20,563.0,2959,0,0,15812,18751,7,6,7,2988,589,571,14623,3831,2,8,14930
astroph,random_k_core,2,20,656.0,2959,0,0,15812,18751,7,6,7,2993,698,648,14432,3981,1,9,14780
astroph,random_k_core,2,20,750.0,2959,0,0,15812,18751,7,6,7,2994,786,752,14239,4120,1,9,14641
astroph,random_k_core,2,20,844.0,2959,0,0,15812,18751,7,6,7,3004,877,846,14044,4261,2,9,14499
astroph,random_k_core,2,20,938.0,2959,0,0,15812,18751,7,6,7,3016,947,929,13879,4405,3,10,14353
astroph,random_k_core,2,20,1032.0,2959,0,0,15812,18751,7,6,7,3042,988,1021,13720,4538,3,10,14220
astroph,random_k_core,2,20,1126.0,2959,0,0,15812,18751,7,6,7,3054,1066,1115,13536,4728,2,10,14031
astroph,random_k_core,2,20,1220.0,2959,0,0,15812,18751,7,6,7,3074,1148,1192,13357,4897,5,10,13859
astroph,random_k_core,2,20,1313.0,2959,0,0,15812,18751,7,6,7,3101,1220,1280,13170,5051,6,10,13704
astroph,random_k_core,2,20,1407.0,2959,0,0,15812,18751,7,6,7,3145,1281,1340,13005,5289,4,10,13468
astroph,random_k_core,2,20,1501.0,2959,0,0,15812,18751,7,6,7,3158,1348,1416,12849,5444,5,10,13312
astroph,random_k_core,2,20,1595.0,2959,0,0,15812,18751,7,6,7,3206,1403,1461,12701,5653,4,16,13098
astroph,random_k_core,2,20,1689.0,2959,0,0,15812,18751,7,6,7,3220,1474,1551,12526,5823,6,16,12926
astroph,random_k_core,2,20,1783.0,2959,0,0,15812,18751,7,6,7,3250,1589,1608,12324,6004,56,16,12695
astroph,random_k_core,2,20,1877.0,2959,0,0,15812,18751,7,6,7,3273,1666,1668,12164,6199,52,19,12501
astroph,random_k_core,2,20,1970.0,2959,0,0,15812,18751,7,6,7,3304,1755,1720,11992,6372,50,29,12320
astroph,random_k_core,2,20,2064.0,2959,0,0,15812,18751,7,6,7,3341,1831,1777,11822,6600,50,32,12089
astroph,random_k_core,2,20,2158.0,2959,0,0,15812,18751,7,6,7,3384,1899,1840,11648,6778,61,34,11898
astroph,random_k_core,2,20,2252.0,2959,0,0,15812,18751,7,6,7,3423,1952,1893,11503,6993,59,36,11683
astroph,random_k_core,3,20,9.0,4899,0,13861,11,18751,5,9,6,4910,0,13850,11,4927,0,13833,11
astroph,random_k_core,3,20,18.0,4899,0,13861,11,18751,5,9,6,4916,0,13844,11,4951,0,13809,11
astroph,random_k_core,3,20,93.0,4899,0,13861,11,18751,5,9,6,5002,0,13758,11,5082,0,13678,11
astroph,random_k_core,3,20,187.0,4899,0,13861,11,18751,5,9,6,5108,0,13652,11,5236,0,13524,11
astroph,random_k_core,3,20,281.0,4899,0,13861,11,18751,5,9,6,5209,0,13551,11,5394,0,13366,11
astroph,random_k_core,3,20,375.0,4899,0,13861,11,18751,5,9,6,5289,0,13471,11,5572,0,13188,11
astroph,random_k_core,3,20,469.0,4899,0,13861,11,18751,5,9,6,5376,0,13384,11,5745,0,13015,11
astroph,random_k_core,3,20,563.0,4899,0,13861,11,18751,5,9,6,5476,0,13284,11,5911,0,12849,11
astroph,random_k_core,3,20,656.0,4899,0,13861,11,18751,5,9,6,5572,0,13188,11,6078,0,12682,11
astroph,random_k_core,3,20,750.0,4899,0,13861,11,18751,5,9,6,5674,0,13086,11,6274,0,12486,11
astroph,random_k_core,3,20,844.0,4899,0,13861,11,18751,5,9,6,5754,0,13006,11,18751,5,9,6
astroph,random_k_core,3,20,938.0,4899,0,13861,11,18751,5,9,6,5844,0,12916,11,18751,5,9,6
astroph,random_k_core,3,20,1032.0,4899,0,13861,11,18751,5,9,6,5967,1,12793,10,18751,5,9,6
astroph,random_k_core,3,20,1126.0,4899,0,13861,11,18751,5,9,6,6044,1,12716,10,18751,5,9,6
astroph,random_k_core,3,20,1220.0,4899,0,13861,11,18751,5,9,6,6136,1,12624,10,18751,5,9,6
astroph,random_k_core,3,20,1313.0,4899,0,13861,11,18751,5,9,6,6223,1,12537,10,18751,5,9,6
astroph,random_k_core,3,20,1407.0,4899,0,13861,11,18751,5,9,6,6328,1,12432,10,18751,5,9,6
astroph,random_k_core,3,20,1501.0,4899,0,13861,11,18751,5,9,6,6420,1,12340,10,18751,5,9,6
astroph,random_k_core,3,20,1595.0,4899,0,13861,11,18751,5,9,6,6519,1,12241,10,18751,5,9,6
astroph,random_k_core,3,20,1689.0,4899,0,13861,11,18751,5,9,6,6609,1,12151,10,18751,5,9,6
astroph,random_k_core,3,20,1783.0,4899,0,13861,11,18751,5,9,6,6702,1,12058,10,18751,5,9,6
astroph,random_k_core,3,20,1877.0,4899,0,13861,11,18751,5,9,6,6825,1,11935,10,18751,5,9,6
astroph,random_k_core,3,20,1970.0,4899,0,13861,11,18751,5,9,6,6896,1,11864,10,18751,5,9,6
astroph,random_k_core,3,20,2064.0,4899,0,13861,11,18751,5,9,6,6999,1,11761,10,18751,5,9,6
astroph,random_k_core,3,20,2158.0,4899,0,13861,11,18751,5,9,6,7082,1,11678,10,18751,5,9,6
astroph,random_k_core,3,20,2252.0,4899,0,13861,11,18751,5,9,6,7153,1,11607,10,18751,5,9,6
astroph,random_k_core,4,20,9.0,6635,12123,0,13,18751,7,6,7,6643,12115,0,13,6654,12104,0,13
astroph,random_k_core,4,20,18.0,6635,12123,0,13,18751,7,6,7,6650,12108,0,13,6682,12076,0,13
astroph,random_k_core,4,20,93.0,6635,12123,0,13,18751,7,6,7,6706,12052,0,13,6841,11917,0,13
astroph,random_k_core,4,20,187.0,6635,12123,0,13,18751,7,6,7,6819,11939,0,13,7026,11732,0,13
astroph,random_k_core,4,20,281.0,6635,12123,0,13,18751,7,6,7,6899,11859,0,13,7210,11548,0,13
astroph,random_k_core,4,20,375.0,6635,12123,0,13,18751,7,6,7,7006,11752,0,13,7401,11357,0,13
astroph,random_k_core,4,20,469.0,6635,12123,0,13,18751,7,6,7,7098,11660,0,13,7572,11186,0,13
astroph,random_k_core,4,20,563.0,6635,12123,0,13,18751,7,6,7,7191,11567,0,13,18750,8,6,7
astroph,random_k_core,4,20,656.0,6635,12123,0,13,18751,7,6,7,7257,11501,0,13,18750,8,6,7
astroph,random_k_core,4,20,750.0,6635,12123,0,13,18751,7,6,7,7354,11404,0,13,18750,8,6,7
astroph,random_k_core,4,20,844.0,6635,12123,0,13,18751,7,6,7,7449,11309,0,13,18751,7,6,7
astroph,random_k_core,4,20,938.0,6635,12123,0,13,18751,7,6,7,7525,11233,0,13,18751,7,6,7
astroph,random_k_core,4,20,1032.0,6635,12123,0,13,18751,7,6,7,7614,11144,0,13,18751,7,6,7
astroph,random_k_core,4,20,1126.0,6635,12123,0,13,18751,7,6,7,7721,11037,0,13,18751,7,6,7
astroph,random_k_core,4,20,1220.0,6635,12123,0,13,18751,7,6,7,7787,10971,0,13,18751,7,6,7
astroph,random_k_core,4,20,1313.0,6635,12123,0,13,18751,7,6,7,7862,10896,0,13,18751,7,6,7
astroph,random_k_core,4,20,1407.0,6635,12123,0,13,18751,7,6,7,7947,10811,0,13,18751,7,6,7
astroph,random_k_core,4,20,1501.0,6635,12123,0,13,18751,7,6,7,8029,10729,0,13,18751,7,6,7
astroph,random_k_core,4,20,1595.0,6635,12123,0,13,18751,7,6,7,8098,10660,0,13,18751,7,6,7
astroph,random_k_core,4,20,1689.0,6635,12123,0,13,18751,7,6,7,8179,10579,0,13,18751,7,6,7
astroph,random_k_core,4,20,1783.0,6635,12123,0,13,18751,7,6,7,8255,10503,0,13,18751,7,6,7
astroph,random_k_core,4,20,1877.0,6635,12123,0,13,18751,7,6,7,8335,10423,0,13,18751,7,6,7
astroph,random_k_core,4,20,1970.0,6635,12123,0,13,18751,7,6,7,8437,10321,0,13,18751,7,6,7
astroph,random_k_core,4,20,2064.0,6635,12123,0,13,18751,7,6,7,8509,10249,0,13,18751,7,6,7
astroph,random_k_core,4,20,2158.0,6635,12123,0,13,18751,7,6,7,8614,10144,0,13,18751,7,6,7
astroph,random_k_core,4,20,2252.0,6635,12123,0,13,18751,7,6,7,8687,10071,0,13,18751,7,6,7
astroph,random_k_core,2,20,9.0,2959,0,0,15812,2972,8,2,15789,2959,11,9,15792,2974,0,1,15796
astroph,random_k_core,2,20,18.0,2959,0,0,15812,2972,18,3,15778,2959,18,21,15773,2990,0,1,15780
astroph,random_k_core,2,20,93.0,2959,0,0,15812,18728,7,30,6,2960,81,93,15637,3106,0,2,15663
astroph,random_k_core,2,20,187.0,2959,0,0,15812,18751,7,7,6,2962,206,173,15430,3237,0,1,15533
astroph,random_k_core,2,20,281.0,2959,0,0,15812,18751,7,7,6,2964,306,268,15233,3385,0,5,15381
astroph,random_k_core,2,20,375.0,2959,0,0,15812,18751,7,7,6,2972,386,372,15041,3538,0,3,15230
astroph,random_k_core,2,20,469.0,2959,0,0,15812,18751,7,7,6,2977,489,462,14843,3679,1,2,15089
astroph,random_k_core,2,20,563.0,2959,0,0,15812,18751,7,7,6,2985,586,560,14640,3837,1,1,14932
astroph,random_k_core,2,20,656.0,2959,0,0,15812,18751,7,7,6,2990,649,676,14456,3987,1,2,14781
